# delay_us	theta_over_pi_weighted_mean	rel_deviation_percent
-1	4.86068155	-45.0791988
-0.995	4.89236484	-44.7212095
-0.99	4.92404212	-44.3632882
-0.985	4.95571144	-44.0054569
-0.98	4.98737084	-43.6477375
-0.975	5.01901839	-43.2901521
-0.97	5.05065214	-42.9327227
-0.965	5.08227013	-42.5754713
-0.96	5.11387041	-42.2184199
-0.955	5.14545104	-41.8615907
-0.95	5.17701007	-41.5050055
-0.945	5.20854554	-41.1486865
-0.94	5.2400555	-40.7926557
-0.935	5.27153801	-40.4369351
-0.93	5.30299111	-40.0815467
-0.925	5.33441286	-39.7265126
-0.92	5.36580132	-39.3718547
-0.915	5.39715452	-39.0175951
-0.91	5.42847054	-38.6637556
-0.905	5.45974743	-38.3103583
-0.9	5.49098325	-37.9574251
-0.895	5.52217606	-37.6049778
-0.89	5.55332392	-37.2530384
-0.885	5.5844249	-36.9016286
-0.88	5.61547707	-36.5507704
-0.875	5.6464785	-36.2004856
-0.87	5.67742726	-35.8507957
-0.865	5.70832144	-35.5017227
-0.86	5.73915911	-35.1532881
-0.855	5.76993836	-34.8055136
-0.85	5.80065727	-34.4584208
-0.845	5.83131395	-34.1120313
-0.84	5.86190648	-33.7663665
-0.835	5.89243297	-33.4214479
-0.83	5.92289153	-33.077297
-0.825	5.95328025	-32.733935
-0.82	5.98359726	-32.3913833
-0.815	6.01384069	-32.0496632
-0.81	6.04400864	-31.7087957
-0.805	6.07409925	-31.3688021
-0.8	6.10411066	-31.0297034
-0.795	6.13404102	-30.6915206
-0.79	6.16388845	-30.3542747
-0.785	6.19365113	-30.0179864
-0.78	6.2233272	-29.6826767
-0.775	6.25291484	-29.3483662
-0.77	6.28241221	-29.0150757
-0.765	6.3118175	-28.6828256
-0.76	6.34112888	-28.3516365
-0.755	6.37034456	-28.0215288
-0.75	6.39946272	-27.6925229
-0.745	6.42848158	-27.364639
-0.74	6.45739935	-27.0378974
-0.735	6.48621425	-26.7123181
-0.73	6.51492451	-26.3879211
-0.725	6.54352836	-26.0647264
-0.72	6.57202405	-25.7427539
-0.715	6.60040983	-25.4220232
-0.71	6.62868396	-25.102554
-0.705	6.65684471	-24.7843659
-0.7	6.68489035	-24.4674784
-0.695	6.71281918	-24.1519109
-0.69	6.74062947	-23.8376826
-0.685	6.76831955	-23.5248126
-0.68	6.79588771	-23.2133202
-0.675	6.82333228	-22.9032242
-0.67	6.85065159	-22.5945435
-0.665	6.87784398	-22.287297
-0.66	6.90490779	-21.9815032
-0.655	6.93184138	-21.6771808
-0.65	6.95864313	-21.3743481
-0.645	6.98531139	-21.0730236
-0.64	7.01184457	-20.7732254
-0.635	7.03824106	-20.4749717
-0.63	7.06449926	-20.1782804
-0.625	7.0906176	-19.8831696
-0.62	7.11659449	-19.5896569
-0.615	7.14242837	-19.2977601
-0.61	7.1681177	-19.0074966
-0.605	7.19366092	-18.718884
-0.6	7.21905651	-18.4319394
-0.595	7.24430294	-18.1466802
-0.59	7.2693987	-17.8631234
-0.585	7.2943423	-17.5812858
-0.58	7.31913225	-17.3011845
-0.575	7.34376706	-17.022836
-0.57	7.36824526	-16.7462569
-0.565	7.39256541	-16.4714637
-0.56	7.41672606	-16.1984728
-0.555	7.44072577	-15.9273002
-0.55	7.46456312	-15.6579622
-0.545	7.4882367	-15.3904746
-0.54	7.51174512	-15.1248532
-0.535	7.53508697	-14.8611138
-0.53	7.55826089	-14.5992719
-0.525	7.58126551	-14.3393429
-0.52	7.60409948	-14.0813421
-0.515	7.62676145	-13.8252846
-0.51	7.6492501	-13.5711856
-0.505	7.6715641	-13.3190598
-0.5	7.69370216	-13.0689221
-0.495	7.71566297	-12.820787
-0.49	7.73744527	-12.5746691
-0.485	7.75904776	-12.3305826
-0.48	7.78046921	-12.0885419
-0.475	7.80170836	-11.8485609
-0.47	7.82276398	-11.6106537
-0.465	7.84363484	-11.3748339
-0.46	7.86431975	-11.1411154
-0.455	7.88481749	-10.9095115
-0.45	7.9051269	-10.6800357
-0.445	7.92524679	-10.4527012
-0.44	7.94517601	-10.2275211
-0.435	7.96491341	-10.0045083
-0.43	7.98445786	-9.7836758
-0.425	8.00380823	-9.56503611
-0.42	8.02296342	-9.34860182
-0.415	8.04192232	-9.1343853
-0.41	8.06068386	-8.9223988
-0.405	8.07924697	-8.71265444
-0.4	8.09761058	-8.50516417
-0.395	8.11577364	-8.2999398
-0.39	8.13373514	-8.09699302
-0.385	8.15149404	-7.89633534
-0.38	8.16904934	-7.69797816
-0.375	8.18640004	-7.50193271
-0.37	8.20354517	-7.30821009
-0.365	8.22048374	-7.11682124
-0.36	8.23721482	-6.92777697
-0.355	8.25373745	-6.74108794
-0.35	8.2700507	-6.55676466
-0.345	8.28615365	-6.3748175
-0.34	8.30204541	-6.19525668
-0.335	8.31772507	-6.01809226
-0.33	8.33319177	-5.84333419
-0.325	8.34844463	-5.67099224
-0.32	8.3634828	-5.50107604
-0.315	8.37830545	-5.33359509
-0.31	8.39291174	-5.16855872
-0.305	8.40730086	-5.00597613
-0.3	8.42147202	-4.84585637
-0.295	8.43542442	-4.68820833
-0.29	8.44915728	-4.53304078
-0.285	8.46266986	-4.3803623
-0.28	8.47596139	-4.23018137
-0.275	8.48903115	-4.0825063
-0.27	8.50187841	-3.93734524
-0.265	8.51450246	-3.79470621
-0.26	8.5269026	-3.65459709
-0.255	8.53907816	-3.51702559
-0.25	8.55102845	-3.38199929
-0.245	8.56275283	-3.24952561
-0.24	8.57425065	-3.11961182
-0.235	8.58552128	-2.99226508
-0.23	8.5965641	-2.86749234
-0.225	8.60737851	-2.74530046
-0.22	8.61796391	-2.62569611
-0.215	8.62831972	-2.50868584
-0.21	8.63844539	-2.39427604
-0.205	8.64834035	-2.28247296
-0.2	8.65800407	-2.17328269
-0.195	8.66743601	-2.06671119
-0.19	8.67663568	-1.96276425
-0.185	8.68560256	-1.86144753
-0.18	8.69433617	-1.76276654
-0.175	8.70283604	-1.66672664
-0.17	8.71110169	-1.57333304
-0.165	8.7191327	-1.48259081
-0.16	8.72692861	-1.39450487
-0.155	8.73448901	-1.30907997
-0.15	8.74181348	-1.22632076
-0.145	8.74890164	-1.14623171
-0.14	8.7557531	-1.06881713
-0.135	8.76236749	-0.994081225
-0.13	8.76874445	-0.922028018
-0.125	8.77488363	-0.852661398
-0.12	8.78078472	-0.785985107
-0.115	8.78644738	-0.722002738
-0.11	8.79187132	-0.660717736
-0.105	8.79705623	-0.602133402
-0.1	8.80200185	-0.546252887
-0.095	8.80670791	-0.493079199
-0.09	8.81117415	-0.442615194
-0.085	8.81540033	-0.394863586
-0.08	8.81938623	-0.34982694
-0.075	8.82313163	-0.307507673
-0.07	8.82663634	-0.267908058
-0.065	8.82990015	-0.231030219
-0.06	8.83292291	-0.196876135
-0.055	8.83570444	-0.165447638
-0.05	8.8382446	-0.136746412
-0.045	8.84054325	-0.110773996
-0.04	8.84260026	-0.0875317824
-0.035	8.84441554	-0.0670210155
-0.03	8.84598897	-0.0492427945
-0.025	8.84732048	-0.0341980716
-0.02	8.84841	-0.0218876524
-0.015	8.84925746	-0.0123121962
-0.01	8.84986282	-0.00547221571
-0.005	8.85022605	-0.00136807706
0	8.85034713	2.22044605e-14
0.005	8.85022605	-0.00136805778
0.01	8.84986282	-0.00547217715
0.015	8.84925746	-0.0123121384
0.02	8.84841	-0.0218875753
0.025	8.84732049	-0.0341979752
0.03	8.84598898	-0.0492426789
0.035	8.84441555	-0.0670208806
0.04	8.84260028	-0.0875316282
0.045	8.84054326	-0.110773823
0.05	8.83824461	-0.13674622
0.055	8.83570446	-0.165447426
0.06	8.83292293	-0.196875904
0.065	8.82990017	-0.231029969
0.07	8.82663636	-0.267907788
0.075	8.82313166	-0.307507384
0.08	8.81938626	-0.349826632
0.085	8.81540036	-0.394863259
0.09	8.81117418	-0.442614848
0.095	8.80670794	-0.493078834
