# t_us	I_over_time_mean_weighted
0	4.63841993
0.0162216234	4.63773181
0.0324432468	4.63566776
0.0486648703	4.63222868
0.0648864937	4.62741608
0.0811081171	4.62123205
0.0973297405	4.61367932
0.113551364	4.60476121
0.129772987	4.59448169
0.145994611	4.58284531
0.162216234	4.56985729
0.178437858	4.55552348
0.194659481	4.53985038
0.210881105	4.52284515
0.227102728	4.50451561
0.243324351	4.48487029
0.259545975	4.46391838
0.275767598	4.44166981
0.291989222	4.41813519
0.308210845	4.39332588
0.324432468	4.36725399
0.340654092	4.33993237
0.356875715	4.31137463
0.373097339	4.28159518
0.389318962	4.2506092
0.405540586	4.21843269
0.421762209	4.18508245
0.437983832	4.15057611
0.454205456	4.11493212
0.470427079	4.07816978
0.486648703	4.04030923
0.502870326	4.00137148
0.51909195	3.96137838
0.535313573	3.92035265
0.551535196	3.87831788
0.56775682	3.83529851
0.583978443	3.79131986
0.600200067	3.7464081
0.61642169	3.70059028
0.632643314	3.65389427
0.648864937	3.60634881
0.66508656	3.55798345
0.681308184	3.50882859
0.697529807	3.45891542
0.713751431	3.40827591
0.729973054	3.35694282
0.746194678	3.30494967
0.762416301	3.25233067
0.778637924	3.19912078
0.794859548	3.14535561
0.811081171	3.09107142
0.827302795	3.03630509
0.843524418	2.98109407
0.859746041	2.92547637
0.875967665	2.8694905
0.892189288	2.81317544
0.908410912	2.75657057
0.924632535	2.6997157
0.940854159	2.64265092
0.957075782	2.58541664
0.973297405	2.5280535
0.989519029	2.47060232
1.00574065	2.41310406
1.02196228	2.35559975
1.0381839	2.29813045
1.05440552	2.24073719
1.07062715	2.1834609
1.08684877	2.12634238
1.10307039	2.06942221
1.11929202	2.01274071
1.13551364	1.95633786
1.15173526	1.90025328
1.16795689	1.84452613
1.18417851	1.78919505
1.20040013	1.73429815
1.21662176	1.67987287
1.23284338	1.62595601
1.249065	1.57258359
1.26528663	1.51979085
1.28150825	1.46761217
1.29772987	1.41608103
1.3139515	1.36522991
1.33017312	1.31509031
1.34639474	1.26569265
1.36261637	1.21706622
1.37883799	1.16923915
1.39505961	1.12223838
1.41128124	1.07608958
1.42750286	1.03081712
1.44372448	0.986444081
1.45994611	0.942992133
1.47616773	0.900481576
1.49238936	0.858931275
1.50861098	0.818358647
1.5248326	0.778779627
1.54105423	0.740208658
1.55727585	0.702658665
1.57349747	0.666141046
1.5897191	0.630665661
1.60594072	0.596240819
1.62216234	0.56287328
1.63838397	0.530568251
1.65460559	0.499329389
1.67082721	0.469158805
1.68704884	0.440057078
1.70327046	0.412023261
1.71949208	0.385054901
1.73571371	0.359148057
1.75193533	0.334297322
1.76815695	0.310495847
1.78437858	0.287735373
1.8006002	0.266006259
1.81682182	0.245297519
1.83304345	0.225596857
1.84926507	0.206890707
1.86548669	0.18916428
1.88170832	0.172401603
1.89792994	0.156585568
1.91415156	0.141697986
1.93037319	0.127719634
1.94659481	0.114630311
1.96281643	0.102408891
1.97903806	0.0910333861
1.99525968	0.0804809974
2.0114813	0.0707281808
2.02770293	0.061750706
2.04392455	0.0535237187
2.06014617	0.0460218038
2.0763678	0.0392190488
2.09258942	0.033089108
2.10881105	0.0276052664
2.12503267	0.0227405045
2.14125429	0.0184675625
2.15747592	0.014759004
2.17369754	0.01158728
2.18991916	0.00892479149
2.20614079	0.00674395202
2.22236241	0.00501724869
2.23858403	0.00371730237
2.25480566	0.00281692654
2.27102728	0.0022891848
2.2872489	0.00210744667
2.30347053	0.0022454418
2.31969215	0.00267731225
2.33591377	0.00337766286
2.3521354	0.00432160944
2.36835702	0.00548482483
2.38457864	0.00684358255
2.40080027	0.00837479808
2.41702189	0.0100560676
2.43324351	0.0118657043
2.44946514	0.0137827715
2.46568676	0.0157871138
2.48190838	0.0178593848
2.49813001	0.0199810724
2.51435163	0.0221345208
2.53057325	0.02430295
2.54679488	0.0264704725
2.5630165	0.0286221064
2.57923812	0.030743786
2.59545975	0.0328223699
2.61168137	0.0348456454
2.62790299	0.0368023306
2.64412462	0.0386820733
2.66034624	0.0404754478
2.67656786	0.0421739478
2.69278949	0.0437699781
2.70901111	0.0452568423
2.72523274	0.0466287293
2.74145436	0.0478806962
2.75767598	0.0490086496
2.77389761	0.0500093249
2.79011923	0.0508802623
2.80634085	0.0516197824
2.82256248	0.0522269587
2.8387841	0.0527015888
2.85500572	0.0530441638
2.87122735	0.0532558368
2.88744897	0.0533383891
2.90367059	0.0532941959
2.91989222	0.0531261906
2.93611384	0.0528378282
2.95233546	0.0524330483
2.96855709	0.0519162366
2.98477871	0.0512921866
3.00100033	0.0505660611
3.01722196	0.0497433526
3.03344358	0.0488298448
3.0496652	0.0478315731
3.06588683	0.046754786
3.08210845	0.0456059068
3.09833007	0.0443914955
3.1145517	0.0431182115
3.13077332	0.0417927773
3.14699494	0.0404219426
3.16321657	0.0390124499
3.17943819	0.0375710006
3.19565981	0.0361042231
3.21188144	0.0346186419
3.22810306	0.0331206473
3.24432468	0.0316164684
3.26054631	0.030112146
3.27676793	0.028613508
3.29298956	0.0271261464
3.30921118	0.0256553961
3.3254328	0.0242063155
3.34165443	0.0227836694
3.35787605	0.0213919128
3.37409767	0.0200351781
3.3903193	0.0187172629
3.40654092	0.0174416213
3.42276254	0.0162113555
3.43898417	0.0150292109
3.45520579	0.0138975727
3.47142741	0.0128184638
3.48764904	0.0117935461
3.50387066	0.0108241221
3.52009228	0.00991113991
3.53631391	0.00905519911
3.55253553	0.00825655869
3.56875715	0.00751514687
3.58497878	0.00683057243
3.6012004	0.00620213771
3.61742202	0.00562885313
3.63364365	0.00510945313
3.64986527	0.00464241349
3.66608689	0.00422596989
3.68230852	0.00385813762
3.69853014	0.00353673244
3.71475176	0.00325939226
3.73097339	0.00302359982
3.74719501	0.002826706
3.76341663	0.00266595381
3.77963826	0.00253850292
3.79585988	0.00244145453
3.8120815	0.0023718766
3.82830313	0.00232682919
3.84452475	0.00230338989
3.86074637	0.0022986792
3.876968	0.00230988569
3.89318962	0.00233429091
3.90941125	0.00236929389
3.92563287	0.00241243514
3.94185449	0.00246142004
3.95807612	0.00251414147
3.97429774	0.00256870166
3.99051936	0.00262343316
4.00674099	0.00267691871
4.02296261	0.00272801009
4.03918423	0.00277584578
4.05540586	0.00281986735
4.07162748	0.00285983453
4.0878491	0.0028958389
4.10407073	0.00292831608
4.12029235	0.00295805648
4.13651397	0.00298621443
4.1527356	0.00301431573
4.16895722	0.00304426358
4.18517884	0.00307834283
4.20140047	0.00311922252
4.21762209	0.00316995675
4.23384371	0.00323398383
4.25006534	0.00331512371
4.26628696	0.00341757368
4.28250858	0.00354590238
4.29873021	0.00370504218
4.31495183	0.00390027984
4.33117345	0.00413724554
4.34739508	0.00442190041
4.3636167	0.0047605224
4.37983832	0.00515969073
4.39605995	0.00562626892
4.41228157	0.00616738637
4.42850319	0.00679041867
4.44472482	0.00750296669
4.46094644	0.0083128345
4.47716807	0.00922800614
4.49338969	0.0102566215
4.50961131	0.0114069513
4.52583294	0.0126873709
4.54205456	0.0141063342
4.55827618	0.0156723458
4.57449781	0.0173939338
4.59071943	0.0192796212
4.60694105	0.0213378975
4.62316268	0.0235771902
4.6393843	0.0260058356
4.65560592	0.0286320504
4.67182755	0.0314639024
4.68804917	0.0345092828
4.70427079	0.0377758771
4.72049242	0.0412711381
4.73671404	0.0450022582
4.75293566	0.0489761427
4.76915729	0.0531993842
4.78537891	0.0576782374
4.80160053	0.0624185946
4.81782216	0.067425963
4.83404378	0.0727054419
4.8502654	0.0782617024
4.86648703	0.0840989671
4.88270865	0.0902209922
4.89893027	0.0966310498
4.9151519	0.103331913
4.93137352	0.110325841
4.94759514	0.117614566
4.96381677	0.125199285
4.98003839	0.133080647
4.99626001	0.141258748
5.01248164	0.149733121
5.02870326	0.158502737
5.04492488	0.167565999
5.06114651	0.176920742
5.07736813	0.186564232
5.09358976	0.196493172
5.10981138	0.206703706
5.126033	0.21719142
5.14225463	0.227951357
5.15847625	0.23897802
5.17469787	0.250265387
5.1909195	0.261806924
5.20714112	0.273595593
5.22336274	0.285623878
5.23958437	0.297883791
5.25580599	0.310366898
5.27202761	0.323064338
5.28824924	0.335966839
5.30447086	0.349064746
5.32069248	0.36234804
5.33691411	0.375806366
5.35313573	0.389429056
5.36935735	0.403205154
5.38557898	0.417123445
5.4018006	0.431172483
5.41802222	0.445340615
5.43424385	0.459616013
5.45046547	0.473986705
5.46668709	0.488440598
5.48290872	0.50296551
5.49913034	0.517549204
5.51535196	0.53217941
5.53157359	0.546843859
5.54779521	0.561530311
5.56401683	0.576226584
5.58023846	0.590920581
5.59646008	0.605600321
5.6126817	0.620253963
5.62890333	0.634869836
5.64512495	0.649436462
5.66134657	0.663942582
5.6775682	0.678377183
5.69378982	0.692729518
5.71001145	0.706989128
5.72623307	0.721145867
5.74245469	0.735189918
5.75867632	0.749111817
5.77489794	0.762902462
5.79111956	0.776553138
5.80734119	0.790055529
5.82356281	0.803401728
5.83978443	0.816584256
5.85600606	0.829596065
5.87222768	0.842430555
5.8884493	0.855081575
5.90467093	0.867543433
5.92089255	0.879810903
5.93711417	0.891879222
