# t0_us	theta_over_pi_weighted_mean
0	7.69370224
0.00810810811	7.65771392
0.0162162162	7.62126506
0.0243243243	7.58436126
0.0324324324	7.54700824
0.0405405405	7.50921175
0.0486486486	7.47097768
0.0567567568	7.43231195
0.0648648649	7.39322059
0.072972973	7.3537097
0.0810810811	7.31378544
0.0891891892	7.27345408
0.0972972973	7.23272193
0.105405405	7.19159541
0.113513514	7.150081
0.121621622	7.10818524
0.12972973	7.06591475
0.137837838	7.02327623
0.145945946	6.98027645
0.154054054	6.93692224
0.162162162	6.8932205
0.17027027	6.8491782
0.178378378	6.80480237
0.186486486	6.76010012
0.194594595	6.7150786
0.202702703	6.66974504
0.210810811	6.62410672
0.218918919	6.57817099
0.227027027	6.53194524
0.235135135	6.48543694
0.243243243	6.43865359
0.251351351	6.39160277
0.259459459	6.34429208
0.267567568	6.29672921
0.275675676	6.24892185
0.283783784	6.20087778
0.291891892	6.1526048
0.3	6.10411077
0.308108108	6.05540358
0.316216216	6.00649116
0.324324324	5.95738148
0.332432432	5.90808256
0.340540541	5.85860244
0.348648649	5.80894919
0.356756757	5.75913091
0.364864865	5.70915575
0.372972973	5.65903186
0.381081081	5.60876743
0.389189189	5.55837066
0.397297297	5.5078498
0.405405405	5.45721308
0.413513514	5.40646878
0.421621622	5.35562516
0.42972973	5.30469051
0.437837838	5.25367315
0.445945946	5.20258137
0.454054054	5.1514235
0.462162162	5.10020783
0.47027027	5.0489427
0.478378378	4.99763642
0.486486486	4.94629729
0.494594595	4.89493363
0.502702703	4.84355374
0.510810811	4.79216588
0.518918919	4.74077835
0.527027027	4.6893994
0.535135135	4.63803726
0.543243243	4.58670015
0.551351351	4.53539628
0.559459459	4.48413381
0.567567568	4.43292088
0.575675676	4.38176561
0.583783784	4.33067607
0.591891892	4.27966032
0.6	4.22872635
0.608108108	4.17788214
0.616216216	4.12713562
0.624324324	4.07649466
0.632432432	4.02596709
0.640540541	3.97556071
0.648648649	3.92528323
0.656756757	3.87514235
0.664864865	3.82514568
0.672972973	3.77530078
0.681081081	3.72561515
0.689189189	3.67609623
0.697297297	3.62675138
0.705405405	3.57758792
0.713513514	3.52861306
0.721621622	3.47983397
0.72972973	3.43125773
0.737837838	3.38289133
0.745945946	3.33474171
0.754054054	3.28681571
0.762162162	3.23912008
0.77027027	3.1916615
0.778378378	3.14444655
0.786486486	3.09748171
0.794594595	3.0507734
0.802702703	3.0043279
0.810810811	2.95815144
0.818918919	2.91225012
0.827027027	2.86662995
0.835135135	2.82129684
0.843243243	2.77625658
0.851351351	2.73151488
0.859459459	2.68707733
0.867567568	2.64294939
0.875675676	2.59913645
0.883783784	2.55564375
0.891891892	2.51247644
0.9	2.46963955
0.908108108	2.42713797
0.916216216	2.3849765
0.924324324	2.34315981
0.932432432	2.30169245
0.940540541	2.26057884
0.948648649	2.21982328
0.956756757	2.17942994
0.964864865	2.13940289
0.972972973	2.09974604
0.981081081	2.06046318
0.989189189	2.02155798
0.997297297	1.98303398
1.00540541	1.94489457
1.01351351	1.90714304
1.02162162	1.86978252
1.02972973	1.83281601
1.03783784	1.7962464
1.04594595	1.76007642
1.05405405	1.72430868
1.06216216	1.68894564
1.07027027	1.65398964
1.07837838	1.61944288
1.08648649	1.58530742
1.09459459	1.55158519
1.1027027	1.51827797
1.11081081	1.48538743
1.11891892	1.45291508
1.12702703	1.4208623
1.13513514	1.38923034
1.14324324	1.35802031
1.15135135	1.32723318
1.15945946	1.2968698
1.16756757	1.26693086
1.17567568	1.23741695
1.18378378	1.2083285
1.19189189	1.17966581
1.2	1.15142905
1.20810811	1.12361827
1.21621622	1.09623337
1.22432432	1.06927414
1.23243243	1.04274022
1.24054054	1.01663114
1.24864865	0.990946292
1.25675676	0.965684941
1.26486486	0.940846233
1.27297297	0.916429188
1.28108108	0.892432702
1.28918919	0.868855551
1.2972973	0.845696391
1.30540541	0.822953759
1.31351351	0.800626075
1.32162162	0.778711643
1.32972973	0.757208654
1.33783784	0.736115185
1.34594595	0.715429204
1.35405405	0.695148567
1.36216216	0.675271027
1.37027027	0.655794227
1.37837838	0.636715709
1.38648649	0.618032912
1.39459459	0.599743176
1.4027027	0.581843742
1.41081081	0.564331756
1.41891892	0.547204268
1.42702703	0.530458239
1.43513514	0.514090539
1.44324324	0.498097949
1.45135135	0.482477167
1.45945946	0.467224805
1.46756757	0.452337398
1.47567568	0.437811398
1.48378378	0.423643182
1.49189189	0.409829055
1.5	0.396365247
1.50810811	0.383247921
1.51621622	0.370473171
1.52432432	0.358037028
1.53243243	0.34593546
1.54054054	0.334164376
1.54864865	0.322719626
1.55675676	0.311597007
1.56486486	0.300792262
1.57297297	0.290301085
1.58108108	0.280119124
1.58918919	0.270241979
1.5972973	0.26066521
1.60540541	0.251384335
1.61351351	0.242394838
1.62162162	0.233692165
1.62972973	0.22527173
1.63783784	0.21712892
1.64594595	0.209259091
1.65405405	0.201657576
1.66216216	0.194319686
1.67027027	0.187240712
1.67837838	0.180415926
1.68648649	0.173840587
1.69459459	0.167509941
1.7027027	0.161419224
1.71081081	0.155563664
1.71891892	0.149938485
1.72702703	0.144538907
1.73513514	0.139360149
1.74324324	0.134397433
1.75135135	0.129645986
1.75945946	0.125101039
1.76756757	0.120757835
1.77567568	0.116611625
1.78378378	0.112657676
1.79189189	0.108891267
1.8	0.105307698
1.80810811	0.101902286
