# delay_us	theta_over_pi_weighted_mean	rel_deviation_percent
-1	1.62597361	-68.9885674
-0.995	1.64175705	-68.6875372
-0.99	1.65760358	-68.3853037
-0.985	1.67351267	-68.0818771
-0.98	1.68948379	-67.7772675
-0.975	1.70551638	-67.4714853
-0.97	1.72160992	-67.1645408
-0.965	1.73776387	-66.8564441
-0.96	1.75397768	-66.5472057
-0.955	1.77025082	-66.2368357
-0.95	1.78658274	-65.9253447
-0.945	1.8029729	-65.6127428
-0.94	1.81942076	-65.2990405
-0.935	1.83592577	-64.9842482
-0.93	1.85248739	-64.6683761
-0.925	1.86910508	-64.3514348
-0.92	1.88577828	-64.0334346
-0.915	1.90250646	-63.7143859
-0.91	1.91928906	-63.3942993
-0.905	1.93612554	-63.073185
-0.9	1.95301534	-62.7510537
-0.895	1.96995793	-62.4279157
-0.89	1.98695275	-62.1037815
-0.885	2.00399924	-61.7786617
-0.88	2.02109686	-61.4525667
-0.875	2.03824506	-61.1255072
-0.87	2.05544329	-60.7974935
-0.865	2.07269098	-60.4685363
-0.86	2.0899876	-60.1386461
-0.855	2.10733257	-59.8078334
-0.85	2.12472536	-59.476109
-0.845	2.1421654	-59.1434833
-0.84	2.15965213	-58.8099671
-0.835	2.177185	-58.4755708
-0.83	2.19476346	-58.1403052
-0.825	2.21238693	-57.8041809
-0.82	2.23005487	-57.4672086
-0.815	2.24776671	-57.1293989
-0.81	2.26552189	-56.7907627
-0.805	2.28331986	-56.4513105
-0.8	2.30116003	-56.1110531
-0.795	2.31904187	-55.7700014
-0.79	2.33696478	-55.4281659
-0.785	2.35492823	-55.0855576
-0.78	2.37293163	-54.7421872
-0.775	2.39097441	-54.3980656
-0.77	2.40905602	-54.0532036
-0.765	2.42717588	-53.707612
-0.76	2.44533342	-53.3613018
-0.755	2.46352806	-53.0142838
-0.75	2.48175925	-52.666569
-0.745	2.50002639	-52.3181684
-0.74	2.51832892	-51.9690928
-0.735	2.53666626	-51.6193533
-0.73	2.55503783	-51.268961
-0.725	2.57344305	-50.9179268
-0.72	2.59188135	-50.5662618
-0.715	2.61035213	-50.2139772
-0.71	2.62885482	-49.8610841
-0.705	2.64738883	-49.5075935
-0.7	2.66595358	-49.1535168
-0.695	2.68454847	-48.7988651
-0.69	2.70317292	-48.4436497
-0.685	2.72182634	-48.0878818
-0.68	2.74050813	-47.7315728
-0.675	2.75921769	-47.3747341
-0.67	2.77795444	-47.0173769
-0.665	2.79671777	-46.6595127
-0.66	2.81550708	-46.301153
-0.655	2.83432177	-45.9423093
-0.65	2.85316123	-45.582993
-0.645	2.87202486	-45.2232159
-0.64	2.89091205	-44.8629894
-0.635	2.90982218	-44.5023252
-0.63	2.92875465	-44.1412351
-0.625	2.94770884	-43.7797307
-0.62	2.96668413	-43.4178239
-0.615	2.9856799	-43.0555265
-0.61	3.00469553	-42.6928504
-0.605	3.02373039	-42.3298075
-0.6	3.04278385	-41.9664097
-0.595	3.06185528	-41.6026692
-0.59	3.08094406	-41.2385979
-0.585	3.10004954	-40.8742081
-0.58	3.11917108	-40.5095118
-0.575	3.13830805	-40.1445214
-0.57	3.15745979	-39.7792492
-0.565	3.17662567	-39.4137074
-0.56	3.19580502	-39.0479086
-0.555	3.2149972	-38.6818651
-0.55	3.23420155	-38.3155896
-0.545	3.25341741	-37.9490945
-0.54	3.27264411	-37.5823927
-0.535	3.29188099	-37.2154967
-0.53	3.31112737	-36.8484194
-0.525	3.33038259	-36.4811737
-0.52	3.34964596	-36.1137724
-0.515	3.36891681	-35.7462286
-0.51	3.38819444	-35.3785553
-0.505	3.40747818	-35.0107657
-0.5	3.42676732	-34.6428729
-0.495	3.44606118	-34.2748902
-0.49	3.46535904	-33.906831
-0.485	3.48466022	-33.5387088
-0.48	3.50396399	-33.1705369
-0.475	3.52326966	-32.8023291
-0.47	3.54257649	-32.4340989
-0.465	3.56188378	-32.0658601
-0.46	3.58119079	-31.6976265
-0.455	3.60049679	-31.3294121
-0.45	3.61980106	-30.9612308
-0.445	3.63910286	-30.5930967
-0.44	3.65840144	-30.2250239
-0.435	3.67769606	-29.8570267
-0.43	3.69698596	-29.4891195
-0.425	3.71627039	-29.1213166
-0.42	3.73554859	-28.7536325
-0.415	3.75481979	-28.3860819
-0.41	3.77408322	-28.0186794
-0.405	3.79333812	-27.6514399
-0.4	3.81258369	-27.2843782
-0.395	3.83181915	-26.9175092
-0.39	3.85104372	-26.5508481
-0.385	3.87025659	-26.1844099
-0.38	3.88945697	-25.81821
-0.375	3.90864406	-25.4522637
-0.37	3.92781704	-25.0865865
-0.365	3.94697509	-24.7211939
-0.36	3.96611741	-24.3561015
-0.355	3.98524315	-23.9913251
-0.35	4.0043515	-23.6268805
-0.345	4.02344161	-23.2627838
-0.34	4.04251265	-22.8990509
-0.335	4.06156376	-22.535698
-0.33	4.08059409	-22.1727413
-0.325	4.09960279	-21.8101974
-0.32	4.11858899	-21.4480825
-0.315	4.13755182	-21.0864132
-0.31	4.15649041	-20.7252064
-0.305	4.17540388	-20.3644786
-0.3	4.19429135	-20.0042469
