# t_us	I_over_time_mean
0	2.345675
0.0162216234	2.35217465
0.0324432468	2.35786856
0.0486648703	2.3627413
0.0648864937	2.3667781
0.0811081171	2.36996495
0.0973297405	2.37228863
0.113551364	2.37373676
0.129772987	2.37429783
0.145994611	2.37396124
0.162216234	2.37271739
0.178437858	2.37055764
0.194659481	2.36747443
0.210881105	2.36346124
0.227102728	2.35851268
0.243324351	2.35262452
0.259545975	2.34579366
0.275767598	2.33801824
0.291989222	2.32929761
0.308210845	2.31963236
0.324432468	2.30902436
0.340654092	2.29747676
0.356875715	2.28499399
0.373097339	2.27158181
0.389318962	2.25724728
0.405540586	2.2419988
0.421762209	2.22584607
0.437983832	2.20880011
0.454205456	2.19087326
0.470427079	2.17207917
0.486648703	2.15243277
0.502870326	2.13195028
0.51909195	2.11064918
0.535313573	2.08854818
0.551535196	2.0656672
0.56775682	2.04202735
0.583978443	2.01765089
0.600200067	1.9925612
0.61642169	1.96678275
0.632643314	1.94034104
0.648864937	1.91326255
0.66508656	1.88557474
0.681308184	1.85730596
0.697529807	1.8284854
0.713751431	1.79914305
0.729973054	1.76930965
0.746194678	1.73901661
0.762416301	1.70829597
0.778637924	1.6771803
0.794859548	1.64570271
0.811081171	1.6138967
0.827302795	1.58179615
0.843524418	1.54943524
0.859746041	1.51684835
0.875967665	1.48407005
0.892189288	1.45113497
0.908410912	1.41807777
0.924632535	1.38493305
0.940854159	1.35173528
0.957075782	1.31851875
0.973297405	1.28531748
0.989519029	1.25216513
1.00574065	1.219095
1.02196228	1.18613989
1.0381839	1.15333209
1.05440552	1.12070326
1.07062715	1.08828442
1.08684877	1.05610587
1.10307039	1.02419711
1.11929202	0.992586824
1.13551364	0.961302792
1.15173526	0.930371853
1.16795689	0.899819855
1.18417851	0.86967161
1.20040013	0.839950847
1.21662176	0.810680176
1.23284338	0.78188105
1.249065	0.753573732
1.26528663	0.725777266
1.28150825	0.698509449
1.29772987	0.671786811
1.3139515	0.645624596
1.33017312	0.620036742
1.34639474	0.595035878
1.36261637	0.570633311
1.37883799	0.546839022
1.39505961	0.523661669
1.41128124	0.501108591
1.42750286	0.479185812
1.44372448	0.457898059
1.45994611	0.437248771
1.47616773	0.417240122
1.49238936	0.397873043
1.50861098	0.379147246
1.5248326	0.361061258
1.54105423	0.343612448
1.55727585	0.326797069
1.57349747	0.310610294
1.5897191	0.295046258
1.60594072	0.280098104
1.62216234	0.265758031
1.63838397	0.252017344
1.65460559	0.238866503
1.67082721	0.226295182
1.68704884	0.214292324
1.70327046	0.202846199
1.71949208	0.191944461
1.73571371	0.181574215
1.75193533	0.171722072
1.76815695	0.162374219
1.78437858	0.153516477
1.8006002	0.145134367
1.81682182	0.137213178
1.83304345	0.129738024
1.84926507	0.122693917
1.86548669	0.116065824
1.88170832	0.109838732
1.89792994	0.103997713
1.91415156	0.098527981
1.93037319	0.0934149566
1.94659481	0.0886443216
1.96281643	0.084202078
1.97903806	0.0800746021
1.99525968	0.076248698
2.0114813	0.0727116477
2.02770293	0.0694512598
2.04392455	0.0664559149
2.06014617	0.0637146086
2.0763678	0.0612169918
2.09258942	0.0589534073
2.10881105	0.0569149241
2.12503267	0.0550933681
2.14125429	0.0534813492
2.15747592	0.0520722851
2.17369754	0.0508604222
2.18991916	0.0498408518
2.20614079	0.0490095236
2.22236241	0.0483632553
2.23858403	0.0478997377
2.25480566	0.0476175379
2.27102728	0.0475160965
2.2872489	0.047595723
2.30347053	0.0478575866
2.31969215	0.0483037034
2.33591377	0.0489369202
2.3521354	0.0497608951
2.36835702	0.0507800734
2.38457864	0.051999662
2.40080027	0.0534255989
2.41702189	0.0550645204
2.43324351	0.0569237253
2.44946514	0.0590111353
2.46568676	0.0613352542
2.48190838	0.0639051228
2.49813001	0.066730273
2.51435163	0.0698206779
2.53057325	0.0731867014
2.54679488	0.0768390449
2.5630165	0.0807886926
2.57923812	0.0850468556
2.59545975	0.0896249135
2.61168137	0.0945343569
2.62790299	0.0997867267
2.64412462	0.105393555
2.66034624	0.111366302
2.67656786	0.1177163
2.69278949	0.124454687
2.70901111	0.131592347
2.72523274	0.139139852
2.74145436	0.147107402
2.75767598	0.155504763
2.77389761	0.164341211
2.79011923	0.173625476
2.80634085	0.183365685
2.82256248	0.193569311
2.8387841	0.204243118
2.85500572	0.215393112
2.87122735	0.227024498
2.88744897	0.239141627
2.90367059	0.251747961
2.91989222	0.264846028
