# t0_us	theta_over_pi_weighted_mean
0	5.52532545
0.00810810811	5.50030806
0.0162162162	5.47485154
0.0243243243	5.44896108
0.0324324324	5.42264197
0.0405405405	5.39589963
0.0486486486	5.36873964
0.0567567568	5.34116768
0.0648648649	5.31318955
0.072972973	5.28481121
0.0810810811	5.25603871
0.0891891892	5.22687823
0.0972972973	5.19733606
0.105405405	5.16741862
0.113513514	5.13713242
0.121621622	5.10648412
0.12972973	5.07548043
0.137837838	5.04412822
0.145945946	5.01243443
0.154054054	4.9804061
0.162162162	4.94805039
0.17027027	4.91537452
0.178378378	4.88238584
0.186486486	4.84909176
0.194594595	4.81549977
0.202702703	4.78161748
0.210810811	4.74745253
0.218918919	4.71301267
0.227027027	4.67830571
0.235135135	4.64333954
0.243243243	4.60812209
0.251351351	4.57266139
0.259459459	4.53696549
0.267567568	4.50104253
0.275675676	4.46490067
0.283783784	4.42854816
0.291891892	4.39199326
0.3	4.35524428
0.308108108	4.31830958
0.316216216	4.28119755
0.324324324	4.2439166
0.332432432	4.20647518
0.340540541	4.16888177
0.348648649	4.13114484
0.356756757	4.09327292
0.364864865	4.05527451
0.372972973	4.01715816
0.381081081	3.9789324
0.389189189	3.94060576
0.397297297	3.90218678
0.405405405	3.863684
0.413513514	3.82510593
0.421621622	3.78646109
0.42972973	3.74775797
0.437837838	3.70900504
0.445945946	3.67021076
0.454054054	3.63138354
0.462162162	3.59253179
0.47027027	3.55366386
0.478378378	3.51478807
0.486486486	3.4759127
0.494594595	3.43704599
0.502702703	3.39819613
0.510810811	3.35937124
0.518918919	3.32057942
0.527027027	3.28182869
0.535135135	3.243127
0.543243243	3.20448226
0.551351351	3.1659023
0.559459459	3.12739486
0.567567568	3.08896765
0.575675676	3.05062826
0.583783784	3.01238423
0.591891892	2.97424299
0.6	2.93621192
0.608108108	2.89829826
0.616216216	2.86050922
0.624324324	2.82285186
0.632432432	2.78533318
0.640540541	2.74796007
0.648648649	2.71073931
0.656756757	2.67367759
0.664864865	2.63678148
0.672972973	2.60005746
0.681081081	2.56351187
